ItemName	Descript
Item_Dan_IncreaseLife3	瓶装,延寿,淡黄色
Item_Dan_IncreaseLife4	葫芦装,延寿,蓝色
Item_Dan_Ling2	紫色,球型,根基
Item_Dan_IncreaseLife5	蓝色,球型,天劫
Item_Dan_IncreaseNeckCountdown1	葫芦,红色,天劫
Item_ParasolWood	木,坚硬,灵物
Item_Dan_PracticeSpeed	火,速度,瓶装
Item_Dan_Defense	护体,球型,橙色
Item_CopperBlock1	方,火,灵物
Item_Dan_CureHuoDamage	球型,疗伤,紫色
Item_Dan_CureTuDamage	球型,疗伤,橙色
Item_Dan_CureShuiDamage	粉末,水,蓝色
Item_Dan_CureMuDamage	球型,青色,疗伤
Item_Dan_CureFiveElementDamage	瓶装,疗伤,橙色
Item_EarthEssence_1	葫芦装,蓝色,疗伤
Item_Dan_FiveBaseFromLife	球型,紫色,折寿
Item_Dan_DredgeQi	瓶装,疗伤,土
Item_RedGinseng	根茎,红色,根基
Item_LingWood	木头,蓝色,灵物
Item_HardWood	木头,黄色
Item_Dan_PracticeRate	小颗粒,金,瓶颈
Item_Dan_IncreaseLife1	延寿,葫芦装,木
Item_Dan_IncreaseLife2	延寿,粉末,水
Item_BasePracticeDrug	五维,瓶装,水
Item_LingMuXueJie	精元,粉末,蓝色
Item_Dan_CalmDown	心境,小颗粒,蓝色
Item_Dan_Happiness	褐色,心境,小颗粒
Item_Dan_FiveBase2	五维,土,瓶装
Item_Dan_FiveBase1	五维,瓶装,金色
Item_Dan_FiveBase3	火,五维,瓶装
Item_Dan_FiveBase4	木,五维,瓶装
Item_Dan_FiveBase5	水,五维,瓶装
Item_Dan_IncreaseNeckCountdown2	粉末,天劫,金
Item_Dan_CureJinDamage	盒子,白色,疗伤
Item_ShuiEssence	白色,圆形,灵物
Item_HuoEssence	火,球型,灵物
Item_JinEssence	褐色,球型,灵物
Item_MuEssence	褐色,灵物,木
Item_TuEssence	褐色,土,灵物
Item_LifeStream	液体,延寿,无色
Item_EarthEssence	液体,无色,根基
Item_SkyStone	石头,灵物,土
Item_StarEssence	灵物,石头,金
Item_SoulPearl	灵物,水,球型
Item_EarthEssence1	根基,液体,红色
Item_Dan_LongDan1	蓝色,球型,水
Item_Dan_FengDan1	红色,球型,火
Item_YanDaoGuo	道行,木,紫色
Item_QieDaoGuo	天谴,木,蓝色
Item_Dan_TreeEXP	球型,无色,参悟
Item_Dan_ExtremeLofty	葫芦装,金色,疗伤
Item_ExtremeJade	坚硬,蓝色,灵物
Item_XianDaoShenNian	球型,潜力,绿色
Item_XianDaoXieNian	球型,潜力,紫色
Item_Dan_HundredRefine	金色,球型,修为
